house,district,office,year,TOT,DEM,REP,dem_pct,margin
wsa,27,GOV,2012,30471.56922697233,8998.279284606655,21321.26729857301,29.678145944301882,-40.44093667174348
wsa,27,USS,2012,34060.203365880334,12403.69208541471,20555.38534840555,37.63361432164034,-23.93319022621211
wsa,28,WSC,2025,24056,9746,14299,40.532335204824285,-18.926671100764885
wsa,28,PRE,2024,37399,12595,23969,34.44645006016847,-30.412577876413806
wsa,28,WSA,2024,36256,12245,23979,33.80355565371025,-32.36429832303619
wsa,28,GOV,2022,26278.03433476395,9659.381974248929,16226.635193133048,37.31505666472462,-24.991417300174984
wsa,28,USS,2022,26272.03433476395,9199.330472103004,17050.703862660943,35.04502262657985,-29.88490838019637
wsa,28,PRE,2020,34397,12045,21527,35.878112712975096,-27.566357531180046
wsa,28,GOV,2018,23422,9138,13494,40.37645811240721,-18.59789941081035
wsa,28,USS,2018,23296,10477,12802,45.006228789896475,-9.980254120879122
wsa,28,PRE,2016,28702,9455,17046,35.67789894720954,-26.44763431119782
wsa,28,USS,2016,28141,10156,16891,37.54945095574371,-23.933051419636826
wsa,28,GOV,2014,19337,7578,11495,39.731557699365595,-20.256503077002634
wsa,28,PRE,2012,28188.008102743745,12146.003964057823,15509.004016446252,43.919726845207855,-11.930605526046673
wsa,28,GOV,2012,20584.00632153715,7890.002933752046,12587.003300471051,38.53103741583832,-22.818688905106438
wsa,28,USS,2012,27761.007980504077,12257.004033909065,14653.003789429726,45.54812512272361,-8.630809649286936
wsa,29,WSC,2025,22560,9659,12846,42.9193512552766,-14.126773049645386
wsa,29,PRE,2024,34124,11981,21475,35.81121472979436,-27.822060719728054
wsa,29,WSA,2024,33314,11675,21619,35.06637832642518,-29.849312601308757
wsa,29,GOV,2022,25249,9895,14948,39.830133236726645,-20.01267376925819
wsa,29,USS,2022,25201,9235,15937,36.68758938503099,-26.594182770524977
wsa,29,PRE,2020,32563,12126,19768,38.01969022386656,-23.46835365291896
wsa,29,GOV,2018,24423.998868900064,10089.99948802845,13741.999392777929,42.33803273696296,-14.952506034544971
wsa,29,USS,2018,24280.998845087433,12145.999404684244,12125.99944040319,50.041199664701494,0.08236878725070285
wsa,29,PRE,2016,28923.015945953284,10544.006747807478,16665.00807337125,38.75188725907239,-21.16308111505979
wsa,29,USS,2016,28487.01599344482,11307.00767137289,16096.00756430697,41.26191068437862,-16.811167213989986
